"";"price";"type";"district";"municipality";"street";"c";"link";"condition";"usable_area";"built_up_area";"land_area";"commission_in_price";"rooms"
"50";85000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985023/na-predaj-pekny-2-izbovy-byt-blizko-centra/";"Kompletná rekonštrukcia";"61";NA;"61";"no";"2"
"51";43000;"Rodinný dom";"okres Nové Zámky";"Jasová";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985021/na-predaj-2-5-izbovy-rodinny-dom-v-obci-jasova/";"Pôvodný stav";NA;"88";"1094";"no";NA
"52";123000;"Rodinný dom";"okres Komárno";"Chotín";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985020/priestranny-rodinny-dom-3-1-na-2673-m2-pozemku-na-predaj-v-obci-chotin/";"Pôvodný stav";"100";"528";"2673";"no";NA
"53";105000;"Rodinný dom";"okres Komárno";"Marcelová";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985018/dvojgeneracny-rodinny-dom-na-okraji-dediny-marcelova/";"Čiastočná rekonštrukcia";"180";"717";"2005";"no";NA
"54";145000;"Rodinný dom";"okres Komárno";"Komárno";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985019/novinka-komarno-cast-nova-straz-velky-rodinny-dom-za-vybornu-cenu/";"Kompletná rekonštrukcia";"150";"468";"765";"no";NA
"55";82000;"Rodinný dom";"okres Komárno";"Bátorove Kosihy";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985015/viacgeneracny-jednopodlazny-rodinny-dom-v-obci-batorove-kosihy/";"Pôvodný stav";"200";"1067";"3077";"no";NA
"56";35000;"Rodinný dom";"okres Komárno";"Marcelová";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985017/rodinny-dom-3-1-na-predaj-na-okraji-dediny-marcelova/";"Pôvodný stav";"135";"398";"1357";"no";NA
"57";93000;"Rodinný dom";"okres Komárno";"Chotín";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985014/na-predaj-ciastocne-prerobeny-rodinny-dom-3-1-v-obci-chotin/";"Čiastočná rekonštrukcia";"145";"800";"800";"no";NA
"58";62000;"Rodinný dom";"okres Komárno";"Marcelová";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985010/rodinny-dom-4-1-dielne-na-120m2-na-predaj-v-obci-marcelova/";"Pôvodný stav";"120";"800";"2000";"no";NA
"59";NA;"Rodinný dom";"okres Komárno";"Komárno";"okres Komárno";NA;"https://www.nehnutelnosti.sk/4985013/na-predaj-rozostavany-velky-rodinny-dom-komarno-cast-hadovce/";"Vo výstavbe";"220";"798";"798";"no";NA
"60";123000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985002/ponukame-na-predaj-3-izbovy-byt-nove-zamky/";"Pôvodný stav";"83,53";NA;"83,53";"no";"3"
"61";299000;"Rodinný dom";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4984998/ponukame-na-predaj-rodinny-dom-v-novych-zamkoch/";"Pôvodný stav";"250";NA;"273";"no";NA
"62";150000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4984999/ponukam-na-predaj-4-izbovy-byt-v-novych-zamkoch/";"Pôvodný stav";"125";NA;"125";"no";"4"
"63";119000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4984995/znizena-cena-ponukame-na-predaj-3-izbovy-byt-v-novych-zamkoch/";"Kompletná rekonštrukcia";"84,03";NA;"84,03";"no";"3"
"64";119000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4984996/ponukame-na-predaj-3-izbovy-byt-v-novych-zamkoch/";"Kompletná rekonštrukcia";"67";NA;"67";"no";"3"
"65";235000;"Byt";"okres Žilina";"Žilina - Hájik";"okres Žilina";NA;"https://www.nehnutelnosti.sk/4949477/3i-priestranny-byt-s-terasou-zilina-hajik/";"Novostavba";"90";NA;NA;"yes";"3"
"66";78400;"Byt";"okres Partizánske";"Partizánske";"okres Partizánske";NA;"https://www.nehnutelnosti.sk/4984981/novinka-na-predaj-2-izbovy-byt-na-horskej-v-partizanskom/";"Čiastočná rekonštrukcia";"49";NA;NA;"yes";"2"
"67";NA;"Byt";"okres Bratislava";"Bratislava IV - Dúbravka";"okres Bratislava";NA;"https://www.nehnutelnosti.sk/4984924/prijemny-3-izbovy-byt-ihned-k-nastahovaniu/";NA;NA;NA;NA;"no";"3"
"68";229900;"Rodinný dom";"okres Trnava";"Košolná";"okres Trnava";NA;"https://www.nehnutelnosti.sk/4984918/novostavba-4-izb-rd-bungalov-kosolna/";"Novostavba";"550";"137,41";"550";"no";NA
"69";249680;"Byt";"okres Banská Bystrica";"Banská Bystrica";"okres Banská Bystrica";NA;"https://www.nehnutelnosti.sk/4984916/3-izbovy-byt-89m2-banska-bystrica/";"Novostavba";"89";NA;NA;"no";"3"
"70";229900;"Rodinný dom";"okres Trnava";"Košolná";"okres Trnava";NA;"https://www.nehnutelnosti.sk/4984917/bungalov-novostavba-4-izb-rd-kosolna/";"Novostavba";"550";"137,41";"550";"no";NA
"71";122900;"Byt";"okres Nové Mesto nad Váhom";"Nové Mesto nad Váhom";"okres Nové Mesto nad Váhom";NA;"https://www.nehnutelnosti.sk/4984911/74m2-3i-byt-v-nove-mesto-n-v-ul-snp-balkon-lodzia-pivnica/";"Čiastočná rekonštrukcia";"74";NA;NA;"no";"3"
"72";NA;"Byt";"okres Spišská Nová Ves";"Spišská Nová Ves";"okres Spišská Nová Ves";NA;"https://www.nehnutelnosti.sk/4984909/predaj-trojizbovy-byt-spisska-nova-ves-mier-j-matusku-exkluzivne-halo-reality/";"Kompletná rekonštrukcia";"68";NA;NA;"no";"3"
"73";139900;"Rodinný dom";"okres Nové Mesto nad Váhom";"Nové Mesto nad Váhom";"okres Nové Mesto nad Váhom";NA;"https://www.nehnutelnosti.sk/4984901/zemianske-podhradie-vymente-byt-za-dom-3izb-k/";"Kompletná rekonštrukcia";"115";"137";"690";"no";NA
"74";138000;"Byt";"okres Turčianske Teplice";"Turčianske Teplice";"okres Turčianske Teplice";NA;"https://www.nehnutelnosti.sk/4984885/3-izbovy-byt-spolu-s-murovanou-garazou-na-predaj-turcianske-teplice-62-51-m2/";"Kompletná rekonštrukcia";"62,5";NA;NA;"no";"3"
"75";135000;"Byt";"okres Banská Bystrica";"Banská Bystrica";"okres Banská Bystrica";NA;"https://www.nehnutelnosti.sk/4984846/pekny-2-izbovy-byt-na-predaj-v-banskej-bystrici-sasova-o-rozlohe-49-49m2-loggia/";"Čiastočná rekonštrukcia";"49,49";NA;NA;"no";"2"
"76";129900;"Byt";"okres Prešov";"Prešov";"okres Prešov";NA;"https://www.nehnutelnosti.sk/4984844/3d-prehliadka-2-izbovy-byt-oktobrova-51-m2-presov/";"Čiastočná rekonštrukcia";"51";NA;NA;"no";"2"
"77";104900;"Byt";"okres Nové Mesto nad Váhom";"Nové Mesto nad Váhom";"okres Nové Mesto nad Váhom";NA;"https://www.nehnutelnosti.sk/4984825/predaj-2izb-byt-56m2-super-lokalita-nove-mesto-nad-vahom/";NA;NA;NA;NA;"no";"2"
"78";990000;"Rodinný dom";"okres Banská Bystrica";"Banská Bystrica";"okres Banská Bystrica";NA;"https://www.nehnutelnosti.sk/4984822/luxusny-3-podlazny-rodinny-dom-na-predaj-banska-bystrica-jedinecny-v-meste/";"Kompletná rekonštrukcia";"450";"325";"372";"no";NA
"79";NA;"Byt";"okres Banská Bystrica";"Banská Bystrica";"okres Banská Bystrica";NA;"https://www.nehnutelnosti.sk/4984823/ponukame-na-predaj-krasny-priestranny-zrekonstruovany-3-izbovy-byt-s-velkym-balkonom/";"Kompletná rekonštrukcia";"92,65";NA;NA;"no";"3"
"80";118500;"Byt";"okres Trnava";"Trnava";"okres Trnava";NA;"https://www.nehnutelnosti.sk/4984808/na-predaj-1-izbovy-byt-v-trnave/";"Kompletná rekonštrukcia";"32";NA;NA;"yes";"1"
